specialite,zone_inscription,effectifs
Neurologie,Sarthe,0
O.R.L et chirurgie cervico faciale,Sarthe,0
Oncologie option medicale,Sarthe,0
Ophtalmologie,Sarthe,0
Pediatrie,Sarthe,4
Pneumologie,Sarthe,0
Psychiatrie,Sarthe,8
Radio-diagnostic et imagerie medicale,Sarthe,0
Radio-therapie,Sarthe,0
Reanimation medicale,Sarthe,0
Recherche medicale,Sarthe,0
Rhumatologie,Sarthe,1
Sante publique et medecine sociale,Sarthe,1
Generalistes,Sarthe,111
Medecine generale,Sarthe,111
Ensemble des specialites d'exercice,Sarthe,164
Specialistes,Sarthe,59
Anatomie et cytologie pathologiques,Sarthe,1
Anesthesie-reanimation,Sarthe,0
Biologie medicale,Sarthe,5
Cardiologie et maladies vasculaires,Sarthe,0
Chirurgie generale,Sarthe,0
Chirurgie maxillo-faciale et stomatologie,Sarthe,0
Chirurgie orthopedique et traumatologie,Sarthe,0
Chirurgie infantile,Sarthe,0
Chirurgie plastique reconstructrice et esthetique,Sarthe,0
Chirurgie thoracique et cardio-vasculaire,Sarthe,0
Chirurgie urologique,Sarthe,0
Chirurgie vasculaire,Sarthe,0
Chirurgie viscerale et digestive,Sarthe,0
Dermatologie et venereologie,Sarthe,0
Endocrinologie et metabolisme,Sarthe,0
Genetique medicale,Sarthe,0
Geriatrie,Sarthe,2
Gynecologie medicale,Sarthe,0
Gynecologie-obstetrique,Sarthe,1
Hematologie,Sarthe,0
Gastro-enterologie et hepatologie,Sarthe,1
Medecine du travail,Sarthe,32
Medecine interne,Sarthe,0
Medecine nucleaire,Sarthe,0
Medecine physique et readaptation,Sarthe,1
Nephrologie,Sarthe,4
Neuro-chirurgie,Sarthe,0
Neurologie,Sarthe,0
O.R.L et chirurgie cervico faciale,Sarthe,0
Oncologie option medicale,Sarthe,0
Ophtalmologie,Sarthe,0
Pediatrie,Sarthe,4
Pneumologie,Sarthe,0
Psychiatrie,Sarthe,6
Radio-diagnostic et imagerie medicale,Sarthe,0
Radio-therapie,Sarthe,0
Reanimation medicale,Sarthe,0
Recherche medicale,Sarthe,0
Rhumatologie,Sarthe,1
Sante publique et medecine sociale,Sarthe,1
Generalistes,Sarthe,105
Medecine generale,Sarthe,105
Ensemble des specialites d'exercice,Savoie,156
Specialistes,Savoie,59
Anatomie et cytologie pathologiques,Savoie,1
Anesthesie-reanimation,Savoie,0
Biologie medicale,Savoie,0
Cardiologie et maladies vasculaires,Savoie,0
Chirurgie generale,Savoie,0
Chirurgie maxillo-faciale et stomatologie,Savoie,0
Chirurgie orthopedique et traumatologie,Savoie,1
Chirurgie infantile,Savoie,0
Chirurgie plastique reconstructrice et esthetique,Savoie,0
Chirurgie thoracique et cardio-vasculaire,Savoie,0
Chirurgie urologique,Savoie,0
Chirurgie vasculaire,Savoie,0
Chirurgie viscerale et digestive,Savoie,0
Dermatologie et venereologie,Savoie,0
Endocrinologie et metabolisme,Savoie,0
Genetique medicale,Savoie,0
Geriatrie,Savoie,1
Gynecologie medicale,Savoie,1
Gynecologie-obstetrique,Savoie,0
Hematologie,Savoie,0
Gastro-enterologie et hepatologie,Savoie,0
Medecine du travail,Savoie,38
Medecine interne,Savoie,0
Medecine nucleaire,Savoie,0
Medecine physique et readaptation,Savoie,2
Nephrologie,Savoie,0
Neuro-chirurgie,Savoie,0
Neurologie,Savoie,1
O.R.L et chirurgie cervico faciale,Savoie,0
Oncologie option medicale,Savoie,1
Ophtalmologie,Savoie,0
Pediatrie,Savoie,5
Pneumologie,Savoie,0
Psychiatrie,Savoie,3
Radio-diagnostic et imagerie medicale,Savoie,0
Radio-therapie,Savoie,0
Reanimation medicale,Savoie,0
Recherche medicale,Savoie,0
Rhumatologie,Savoie,2
Sante publique et medecine sociale,Savoie,3
Generalistes,Savoie,97
Medecine generale,Savoie,97
Ensemble des specialites d'exercice,Savoie,149
Specialistes,Savoie,57
Anatomie et cytologie pathologiques,Savoie,1
Anesthesie-reanimation,Savoie,0
Biologie medicale,Savoie,0
Cardiologie et maladies vasculaires,Savoie,0
Chirurgie generale,Savoie,0
Chirurgie maxillo-faciale et stomatologie,Savoie,0
Chirurgie orthopedique et traumatologie,Savoie,1
Chirurgie infantile,Savoie,0
Chirurgie plastique reconstructrice et esthetique,Savoie,0
Chirurgie thoracique et cardio-vasculaire,Savoie,0
Chirurgie urologique,Savoie,0
Chirurgie vasculaire,Savoie,0
Chirurgie viscerale et digestive,Savoie,0
Dermatologie et venereologie,Savoie,0
Endocrinologie et metabolisme,Savoie,0
Genetique medicale,Savoie,0
Geriatrie,Savoie,0
Gynecologie medicale,Savoie,0
Gynecologie-obstetrique,Savoie,0
Hematologie,Savoie,0
Gastro-enterologie et hepatologie,Savoie,0
Medecine du travail,Savoie,36
Medecine interne,Savoie,1
Medecine nucleaire,Savoie,0
Medecine physique et readaptation,Savoie,3
Nephrologie,Savoie,0
Neuro-chirurgie,Savoie,0
Neurologie,Savoie,1
O.R.L et chirurgie cervico faciale,Savoie,0
Oncologie option medicale,Savoie,1
Ophtalmologie,Savoie,0
Pediatrie,Savoie,4
Pneumologie,Savoie,0
Psychiatrie,Savoie,3
Radio-diagnostic et imagerie medicale,Savoie,0
Radio-therapie,Savoie,0
Reanimation medicale,Savoie,0
Recherche medicale,Savoie,0
Rhumatologie,Savoie,2
Sante publique et medecine sociale,Savoie,4
Generalistes,Savoie,92
Medecine generale,Savoie,92
Ensemble des specialites d'exercice,Haute-Savoie,218
Specialistes,Haute-Savoie,84
Anatomie et cytologie pathologiques,Haute-Savoie,0
Anesthesie-reanimation,Haute-Savoie,0
Biologie medicale,Haute-Savoie,4
Cardiologie et maladies vasculaires,Haute-Savoie,0
Chirurgie generale,Haute-Savoie,0
Chirurgie maxillo-faciale et stomatologie,Haute-Savoie,0
Chirurgie orthopedique et traumatologie,Haute-Savoie,0
Chirurgie infantile,Haute-Savoie,0
Chirurgie plastique reconstructrice et esthetique,Haute-Savoie,0
Chirurgie thoracique et cardio-vasculaire,Haute-Savoie,0
Chirurgie urologique,Haute-Savoie,0
Chirurgie vasculaire,Haute-Savoie,0
Chirurgie viscerale et digestive,Haute-Savoie,0
Dermatologie et venereologie,Haute-Savoie,0
Endocrinologie et metabolisme,Haute-Savoie,1
Genetique medicale,Haute-Savoie,0
Geriatrie,Haute-Savoie,1
Gynecologie medicale,Haute-Savoie,0
Gynecologie-obstetrique,Haute-Savoie,0
Hematologie,Haute-Savoie,0
Gastro-enterologie et hepatologie,Haute-Savoie,0
Medecine du travail,Haute-Savoie,54
Medecine interne,Haute-Savoie,0
Medecine nucleaire,Haute-Savoie,0
Medecine physique et readaptation,Haute-Savoie,0
Nephrologie,Haute-Savoie,0
Neuro-chirurgie,Haute-Savoie,0
Neurologie,Haute-Savoie,0
O.R.L et chirurgie cervico faciale,Haute-Savoie,1
Oncologie option medicale,Haute-Savoie,0
Ophtalmologie,Haute-Savoie,0
Pediatrie,Haute-Savoie,7
Pneumologie,Haute-Savoie,1
Psychiatrie,Haute-Savoie,8
Radio-diagnostic et imagerie medicale,Haute-Savoie,0
Radio-therapie,Haute-Savoie,0
Reanimation medicale,Haute-Savoie,0
Recherche medicale,Haute-Savoie,0
Rhumatologie,Haute-Savoie,0
Sante publique et medecine sociale,Haute-Savoie,7
Generalistes,Haute-Savoie,134
Medecine generale,Haute-Savoie,134
Ensemble des specialites d'exercice,Haute-Savoie,215
Specialistes,Haute-Savoie,88
Anatomie et cytologie pathologiques,Haute-Savoie,0
Anesthesie-reanimation,Haute-Savoie,0
Biologie medicale,Haute-Savoie,2
Cardiologie et maladies vasculaires,Haute-Savoie,0
Chirurgie generale,Haute-Savoie,0
Chirurgie maxillo-faciale et stomatologie,Haute-Savoie,1
Chirurgie orthopedique et traumatologie,Haute-Savoie,0
Chirurgie infantile,Haute-Savoie,0
Chirurgie plastique reconstructrice et esthetique,Haute-Savoie,0
Chirurgie thoracique et cardio-vasculaire,Haute-Savoie,0
Chirurgie urologique,Haute-Savoie,0
Chirurgie vasculaire,Haute-Savoie,0
Chirurgie viscerale et digestive,Haute-Savoie,0
Dermatologie et venereologie,Haute-Savoie,0
Endocrinologie et metabolisme,Haute-Savoie,1
Genetique medicale,Haute-Savoie,0
Geriatrie,Haute-Savoie,2
Gynecologie medicale,Haute-Savoie,0
Gynecologie-obstetrique,Haute-Savoie,0
Hematologie,Haute-Savoie,0
Gastro-enterologie et hepatologie,Haute-Savoie,0
Medecine du travail,Haute-Savoie,59
Medecine interne,Haute-Savoie,0
Medecine nucleaire,Haute-Savoie,0
Medecine physique et readaptation,Haute-Savoie,0
Nephrologie,Haute-Savoie,0
Neuro-chirurgie,Haute-Savoie,0
Neurologie,Haute-Savoie,0
O.R.L et chirurgie cervico faciale,Haute-Savoie,0
Oncologie option medicale,Haute-Savoie,0
Ophtalmologie,Haute-Savoie,0
Pediatrie,Haute-Savoie,8
Pneumologie,Haute-Savoie,1
Psychiatrie,Haute-Savoie,7
Radio-diagnostic et imagerie medicale,Haute-Savoie,0
Radio-therapie,Haute-Savoie,0
Reanimation medicale,Haute-Savoie,0
Recherche medicale,Haute-Savoie,0
Rhumatologie,Haute-Savoie,0
Sante publique et medecine sociale,Haute-Savoie,7
Generalistes,Haute-Savoie,127
Medecine generale,Haute-Savoie,127
Ensemble des specialites d'exercice,Paris,2827
Specialistes,Paris,1423
Anatomie et cytologie pathologiques,Paris,7
Anesthesie-reanimation,Paris,23
Biologie medicale,Paris,52
Cardiologie et maladies vasculaires,Paris,41
Chirurgie generale,Paris,11
Chirurgie maxillo-faciale et stomatologie,Paris,17
Chirurgie orthopedique et traumatologie,Paris,2
Chirurgie infantile,Paris,0
Chirurgie plastique reconstructrice et esthetique,Paris,1
Chirurgie thoracique et cardio-vasculaire,Paris,1
Chirurgie urologique,Paris,1
Chirurgie vasculaire,Paris,0
Chirurgie viscerale et digestive,Paris,1
Dermatologie et venereologie,Paris,59
Endocrinologie et metabolisme,Paris,13
Genetique medicale,Paris,5
Geriatrie,Paris,24
Gynecologie medicale,Paris,43
Gynecologie-obstetrique,Paris,11
Hematologie,Paris,1
Gastro-enterologie et hepatologie,Paris,11
Medecine du travail,Paris,429
Medecine interne,Paris,32
Medecine nucleaire,Paris,4
Medecine physique et readaptation,Paris,12
Nephrologie,Paris,18
Neuro-chirurgie,Paris,1
Neurologie,Paris,13
O.R.L et chirurgie cervico faciale,Paris,28
Oncologie option medicale,Paris,3
Ophtalmologie,Paris,77
Pediatrie,Paris,92
Pneumologie,Paris,14
Psychiatrie,Paris,139
Radio-diagnostic et imagerie medicale,Paris,50
Radio-therapie,Paris,2
Reanimation medicale,Paris,1
Recherche medicale,Paris,0
Rhumatologie,Paris,35
Sante publique et medecine sociale,Paris,149
Generalistes,Paris,1404
Medecine generale,Paris,1404
Ensemble des specialites d'exercice,Paris,2825
Specialistes,Paris,1398
Anatomie et cytologie pathologiques,Paris,6
Anesthesie-reanimation,Paris,26
Biologie medicale,Paris,60
Cardiologie et maladies vasculaires,Paris,42
Chirurgie generale,Paris,11
Chirurgie maxillo-faciale et stomatologie,Paris,16
Chirurgie orthopedique et traumatologie,Paris,2
Chirurgie infantile,Paris,0
Chirurgie plastique reconstructrice et esthetique,Paris,1
Chirurgie thoracique et cardio-vasculaire,Paris,1
Chirurgie urologique,Paris,1
Chirurgie vasculaire,Paris,0
Chirurgie viscerale et digestive,Paris,1
Dermatologie et venereologie,Paris,57
Endocrinologie et metabolisme,Paris,16
Genetique medicale,Paris,6
Geriatrie,Paris,23
Gynecologie medicale,Paris,49
Gynecologie-obstetrique,Paris,12
Hematologie,Paris,1
Gastro-enterologie et hepatologie,Paris,10
Medecine du travail,Paris,403
Medecine interne,Paris,32
Medecine nucleaire,Paris,4
Medecine physique et readaptation,Paris,10
Nephrologie,Paris,18
Neuro-chirurgie,Paris,1
Neurologie,Paris,16
O.R.L et chirurgie cervico faciale,Paris,28
Oncologie option medicale,Paris,4
Ophtalmologie,Paris,73
Pediatrie,Paris,93
Pneumologie,Paris,11
Psychiatrie,Paris,128
Radio-diagnostic et imagerie medicale,Paris,54
Radio-therapie,Paris,2
Reanimation medicale,Paris,0
Recherche medicale,Paris,0
Rhumatologie,Paris,29
Sante publique et medecine sociale,Paris,151
Generalistes,Paris,1427
Medecine generale,Paris,1427
Ensemble des specialites d'exercice,Seine-Maritime,445
Specialistes,Seine-Maritime,168
Anatomie et cytologie pathologiques,Seine-Maritime,0
Anesthesie-reanimation,Seine-Maritime,0
Biologie medicale,Seine-Maritime,8
Cardiologie et maladies vasculaires,Seine-Maritime,0
Chirurgie generale,Seine-Maritime,0
Chirurgie maxillo-faciale et stomatologie,Seine-Maritime,0
Chirurgie orthopedique et traumatologie,Seine-Maritime,0
Chirurgie infantile,Seine-Maritime,0
Chirurgie plastique reconstructrice et esthetique,Seine-Maritime,0
Chirurgie thoracique et cardio-vasculaire,Seine-Maritime,0
Chirurgie urologique,Seine-Maritime,1
Chirurgie vasculaire,Seine-Maritime,0
Chirurgie viscerale et digestive,Seine-Maritime,1
Dermatologie et venereologie,Seine-Maritime,0
Endocrinologie et metabolisme,Seine-Maritime,0
Genetique medicale,Seine-Maritime,1
Geriatrie,Seine-Maritime,4
Gynecologie medicale,Seine-Maritime,2
Gynecologie-obstetrique,Seine-Maritime,1
Hematologie,Seine-Maritime,0
Gastro-enterologie et hepatologie,Seine-Maritime,1
Medecine du travail,Seine-Maritime,94
Medecine interne,Seine-Maritime,0
Medecine nucleaire,Seine-Maritime,1
Medecine physique et readaptation,Seine-Maritime,1
Nephrologie,Seine-Maritime,6
Neuro-chirurgie,Seine-Maritime,0
Neurologie,Seine-Maritime,0
O.R.L et chirurgie cervico faciale,Seine-Maritime,2
Oncologie option medicale,Seine-Maritime,0
Ophtalmologie,Seine-Maritime,0
Pediatrie,Seine-Maritime,13
Pneumologie,Seine-Maritime,0
Psychiatrie,Seine-Maritime,14
Radio-diagnostic et imagerie medicale,Seine-Maritime,1
Radio-therapie,Seine-Maritime,0
Reanimation medicale,Seine-Maritime,0
Recherche medicale,Seine-Maritime,0
Rhumatologie,Seine-Maritime,1
Sante publique et medecine sociale,Seine-Maritime,16
Generalistes,Seine-Maritime,277
Medecine generale,Seine-Maritime,277
Ensemble des specialites d'exercice,Seine-Maritime,427
Specialistes,Seine-Maritime,167
Anatomie et cytologie pathologiques,Seine-Maritime,0
Anesthesie-reanimation,Seine-Maritime,2
Biologie medicale,Seine-Maritime,10
Cardiologie et maladies vasculaires,Seine-Maritime,0
Chirurgie generale,Seine-Maritime,0
Chirurgie maxillo-faciale et stomatologie,Seine-Maritime,0
Chirurgie orthopedique et traumatologie,Seine-Maritime,0
Chirurgie infantile,Seine-Maritime,0
Chirurgie plastique reconstructrice et esthetique,Seine-Maritime,0
Chirurgie thoracique et cardio-vasculaire,Seine-Maritime,0
Chirurgie urologique,Seine-Maritime,1
Chirurgie vasculaire,Seine-Maritime,0
Chirurgie viscerale et digestive,Seine-Maritime,1
Dermatologie et venereologie,Seine-Maritime,0
Endocrinologie et metabolisme,Seine-Maritime,0
Genetique medicale,Seine-Maritime,1
Geriatrie,Seine-Maritime,2
Gynecologie medicale,Seine-Maritime,2
Gynecologie-obstetrique,Seine-Maritime,1
Hematologie,Seine-Maritime,0
Gastro-enterologie et hepatologie,Seine-Maritime,1
Medecine du travail,Seine-Maritime,96
Medecine interne,Seine-Maritime,0
Medecine nucleaire,Seine-Maritime,1
Medecine physique et readaptation,Seine-Maritime,0
Nephrologie,Seine-Maritime,5
Neuro-chirurgie,Seine-Maritime,0
Neurologie,Seine-Maritime,0
O.R.L et chirurgie cervico faciale,Seine-Maritime,2
Oncologie option medicale,Seine-Maritime,0
Ophtalmologie,Seine-Maritime,0
Pediatrie,Seine-Maritime,14
Pneumologie,Seine-Maritime,0
Psychiatrie,Seine-Maritime,11
Radio-diagnostic et imagerie medicale,Seine-Maritime,0
Radio-therapie,Seine-Maritime,0
Reanimation medicale,Seine-Maritime,0
Recherche medicale,Seine-Maritime,0
Rhumatologie,Seine-Maritime,0
Sante publique et medecine sociale,Seine-Maritime,17
Generalistes,Seine-Maritime,260
Medecine generale,Seine-Maritime,260
Ensemble des specialites d'exercice,Seine-et-Marne,309
Specialistes,Seine-et-Marne,126
Anatomie et cytologie pathologiques,Seine-et-Marne,1
Anesthesie-reanimation,Seine-et-Marne,0
Biologie medicale,Seine-et-Marne,5
Cardiologie et maladies vasculaires,Seine-et-Marne,0
Chirurgie generale,Seine-et-Marne,2
Chirurgie maxillo-faciale et stomatologie,Seine-et-Marne,1
Chirurgie orthopedique et traumatologie,Seine-et-Marne,0
Chirurgie infantile,Seine-et-Marne,0
Chirurgie plastique reconstructrice et esthetique,Seine-et-Marne,0
Chirurgie thoracique et cardio-vasculaire,Seine-et-Marne,0
Chirurgie urologique,Seine-et-Marne,0
Chirurgie vasculaire,Seine-et-Marne,0
Chirurgie viscerale et digestive,Seine-et-Marne,0
Dermatologie et venereologie,Seine-et-Marne,0
Endocrinologie et metabolisme,Seine-et-Marne,1
Genetique medicale,Seine-et-Marne,0
Geriatrie,Seine-et-Marne,7
Gynecologie medicale,Seine-et-Marne,1
Gynecologie-obstetrique,Seine-et-Marne,1
Hematologie,Seine-et-Marne,0
Gastro-enterologie et hepatologie,Seine-et-Marne,1
Medecine du travail,Seine-et-Marne,75
Medecine interne,Seine-et-Marne,0
Medecine nucleaire,Seine-et-Marne,0
Medecine physique et readaptation,Seine-et-Marne,4
Nephrologie,Seine-et-Marne,0
Neuro-chirurgie,Seine-et-Marne,0
Neurologie,Seine-et-Marne,0
O.R.L et chirurgie cervico faciale,Seine-et-Marne,1
Oncologie option medicale,Seine-et-Marne,0
Ophtalmologie,Seine-et-Marne,0
Pediatrie,Seine-et-Marne,8
Pneumologie,Seine-et-Marne,1
Psychiatrie,Seine-et-Marne,10
Radio-diagnostic et imagerie medicale,Seine-et-Marne,0
Radio-therapie,Seine-et-Marne,0
Reanimation medicale,Seine-et-Marne,0
Recherche medicale,Seine-et-Marne,0
Rhumatologie,Seine-et-Marne,2
Sante publique et medecine sociale,Seine-et-Marne,5
Generalistes,Seine-et-Marne,183
Medecine generale,Seine-et-Marne,183
Ensemble des specialites d'exercice,Seine-et-Marne,334
Specialistes,Seine-et-Marne,134
Anatomie et cytologie pathologiques,Seine-et-Marne,1
Anesthesie-reanimation,Seine-et-Marne,1
Biologie medicale,Seine-et-Marne,6
Cardiologie et maladies vasculaires,Seine-et-Marne,1
Chirurgie generale,Seine-et-Marne,3
Chirurgie maxillo-faciale et stomatologie,Seine-et-Marne,0
Chirurgie orthopedique et traumatologie,Seine-et-Marne,1
Chirurgie infantile,Seine-et-Marne,0
Chirurgie plastique reconstructrice et esthetique,Seine-et-Marne,0
Chirurgie thoracique et cardio-vasculaire,Seine-et-Marne,0
Chirurgie urologique,Seine-et-Marne,0
Chirurgie vasculaire,Seine-et-Marne,0
Chirurgie viscerale et digestive,Seine-et-Marne,0
Dermatologie et venereologie,Seine-et-Marne,0
Endocrinologie et metabolisme,Seine-et-Marne,0
Genetique medicale,Seine-et-Marne,0
Geriatrie,Seine-et-Marne,6
Gynecologie medicale,Seine-et-Marne,1
Gynecologie-obstetrique,Seine-et-Marne,1
Hematologie,Seine-et-Marne,0
Gastro-enterologie et hepatologie,Seine-et-Marne,1
Medecine du travail,Seine-et-Marne,74
Medecine interne,Seine-et-Marne,0
Medecine nucleaire,Seine-et-Marne,0
Medecine physique et readaptation,Seine-et-Marne,6
Nephrologie,Seine-et-Marne,0
Neuro-chirurgie,Seine-et-Marne,0
Neurologie,Seine-et-Marne,0
O.R.L et chirurgie cervico faciale,Seine-et-Marne,1
Oncologie option medicale,Seine-et-Marne,0
Ophtalmologie,Seine-et-Marne,0
Pediatrie,Seine-et-Marne,12
Pneumologie,Seine-et-Marne,0
Psychiatrie,Seine-et-Marne,12
Radio-diagnostic et imagerie medicale,Seine-et-Marne,1
Radio-therapie,Seine-et-Marne,0
Reanimation medicale,Seine-et-Marne,0
Recherche medicale,Seine-et-Marne,0
Rhumatologie,Seine-et-Marne,2
Sante publique et medecine sociale,Seine-et-Marne,4
Generalistes,Seine-et-Marne,200
Medecine generale,Seine-et-Marne,200
Ensemble des specialites d'exercice,Yvelines,535
Specialistes,Yvelines,225
Anatomie et cytologie pathologiques,Yvelines,0
Anesthesie-reanimation,Yvelines,0
Biologie medicale,Yvelines,8
Cardiologie et maladies vasculaires,Yvelines,3
Chirurgie generale,Yvelines,1
Chirurgie maxillo-faciale et stomatologie,Yvelines,1
Chirurgie orthopedique et traumatologie,Yvelines,0
Chirurgie infantile,Yvelines,0
Chirurgie plastique reconstructrice et esthetique,Yvelines,0
Chirurgie thoracique et cardio-vasculaire,Yvelines,0
Chirurgie urologique,Yvelines,0
Chirurgie vasculaire,Yvelines,0
Chirurgie viscerale et digestive,Yvelines,0
Dermatologie et venereologie,Yvelines,1
Endocrinologie et metabolisme,Yvelines,0
Genetique medicale,Yvelines,2
Geriatrie,Yvelines,14
Gynecologie medicale,Yvelines,2
Gynecologie-obstetrique,Yvelines,2
Hematologie,Yvelines,0
Gastro-enterologie et hepatologie,Yvelines,1
Medecine du travail,Yvelines,108
Medecine interne,Yvelines,3
Medecine nucleaire,Yvelines,0
Medecine physique et readaptation,Yvelines,9
Nephrologie,Yvelines,0
Neuro-chirurgie,Yvelines,0
Neurologie,Yvelines,0
O.R.L et chirurgie cervico faciale,Yvelines,2
Oncologie option medicale,Yvelines,0
Ophtalmologie,Yvelines,5
Pediatrie,Yvelines,23
Pneumologie,Yvelines,2
Psychiatrie,Yvelines,31
Radio-diagnostic et imagerie medicale,Yvelines,1
Radio-therapie,Yvelines,0
Reanimation medicale,Yvelines,0
Recherche medicale,Yvelines,0
Rhumatologie,Yvelines,3
Sante publique et medecine sociale,Yvelines,3
Generalistes,Yvelines,310
Medecine generale,Yvelines,310
Ensemble des specialites d'exercice,Yvelines,547
Specialistes,Yvelines,230
Anatomie et cytologie pathologiques,Yvelines,0
Anesthesie-reanimation,Yvelines,0
Biologie medicale,Yvelines,9
Cardiologie et maladies vasculaires,Yvelines,3
Chirurgie generale,Yvelines,1
Chirurgie maxillo-faciale et stomatologie,Yvelines,1
Chirurgie orthopedique et traumatologie,Yvelines,0
Chirurgie infantile,Yvelines,0
Chirurgie plastique reconstructrice et esthetique,Yvelines,0
Chirurgie thoracique et cardio-vasculaire,Yvelines,0
Chirurgie urologique,Yvelines,0
Chirurgie vasculaire,Yvelines,0
Chirurgie viscerale et digestive,Yvelines,0
Dermatologie et venereologie,Yvelines,1
Endocrinologie et metabolisme,Yvelines,0
Genetique medicale,Yvelines,2
Geriatrie,Yvelines,13
Gynecologie medicale,Yvelines,1
Gynecologie-obstetrique,Yvelines,0
Hematologie,Yvelines,0
Gastro-enterologie et hepatologie,Yvelines,1
Medecine du travail,Yvelines,114
Medecine interne,Yvelines,2
Medecine nucleaire,Yvelines,0
Medecine physique et readaptation,Yvelines,10
Nephrologie,Yvelines,0
Neuro-chirurgie,Yvelines,0
Neurologie,Yvelines,0
O.R.L et chirurgie cervico faciale,Yvelines,1
Oncologie option medicale,Yvelines,0
Ophtalmologie,Yvelines,5
Pediatrie,Yvelines,24
Pneumologie,Yvelines,2
Psychiatrie,Yvelines,33
Radio-diagnostic et imagerie medicale,Yvelines,2
Radio-therapie,Yvelines,0
Reanimation medicale,Yvelines,0
Recherche medicale,Yvelines,0
Rhumatologie,Yvelines,2
Sante publique et medecine sociale,Yvelines,3
Generalistes,Yvelines,317
Medecine generale,Yvelines,317
Ensemble des specialites d'exercice,Deux-Sevres,123
Specialistes,Deux-Sevres,32
Anatomie et cytologie pathologiques,Deux-Sevres,0
Anesthesie-reanimation,Deux-Sevres,1
Biologie medicale,Deux-Sevres,3
Cardiologie et maladies vasculaires,Deux-Sevres,0
Chirurgie generale,Deux-Sevres,0
Chirurgie maxillo-faciale et stomatologie,Deux-Sevres,0
Chirurgie orthopedique et traumatologie,Deux-Sevres,0
Chirurgie infantile,Deux-Sevres,0
Chirurgie plastique reconstructrice et esthetique,Deux-Sevres,0
Chirurgie thoracique et cardio-vasculaire,Deux-Sevres,0
Chirurgie urologique,Deux-Sevres,0
Chirurgie vasculaire,Deux-Sevres,0
Chirurgie viscerale et digestive,Deux-Sevres,0
Dermatologie et venereologie,Deux-Sevres,0
Endocrinologie et metabolisme,Deux-Sevres,0
Genetique medicale,Deux-Sevres,0
Geriatrie,Deux-Sevres,0
Gynecologie medicale,Deux-Sevres,0
Gynecologie-obstetrique,Deux-Sevres,0
Hematologie,Deux-Sevres,0
Gastro-enterologie et hepatologie,Deux-Sevres,0
Medecine du travail,Deux-Sevres,20
Medecine interne,Deux-Sevres,0
Medecine nucleaire,Deux-Sevres,0
Medecine physique et readaptation,Deux-Sevres,0
Nephrologie,Deux-Sevres,2
Neuro-chirurgie,Deux-Sevres,0
Neurologie,Deux-Sevres,0
O.R.L et chirurgie cervico faciale,Deux-Sevres,0
Oncologie option medicale,Deux-Sevres,0
Ophtalmologie,Deux-Sevres,0
Pediatrie,Deux-Sevres,2
Pneumologie,Deux-Sevres,0
Psychiatrie,Deux-Sevres,4
Radio-diagnostic et imagerie medicale,Deux-Sevres,0
Radio-therapie,Deux-Sevres,0
Reanimation medicale,Deux-Sevres,0
Recherche medicale,Deux-Sevres,0
Rhumatologie,Deux-Sevres,0
Sante publique et medecine sociale,Deux-Sevres,0
Generalistes,Deux-Sevres,91
Medecine generale,Deux-Sevres,91
Ensemble des specialites d'exercice,Deux-Sevres,128
Specialistes,Deux-Sevres,35
Anatomie et cytologie pathologiques,Deux-Sevres,0
Anesthesie-reanimation,Deux-Sevres,2
Biologie medicale,Deux-Sevres,3
Cardiologie et maladies vasculaires,Deux-Sevres,0
Chirurgie generale,Deux-Sevres,0
Chirurgie maxillo-faciale et stomatologie,Deux-Sevres,0
Chirurgie orthopedique et traumatologie,Deux-Sevres,0
Chirurgie infantile,Deux-Sevres,0
Chirurgie plastique reconstructrice et esthetique,Deux-Sevres,0
Chirurgie thoracique et cardio-vasculaire,Deux-Sevres,0
Chirurgie urologique,Deux-Sevres,0
Chirurgie vasculaire,Deux-Sevres,0
Chirurgie viscerale et digestive,Deux-Sevres,0
Dermatologie et venereologie,Deux-Sevres,0
Endocrinologie et metabolisme,Deux-Sevres,0
Genetique medicale,Deux-Sevres,0
Geriatrie,Deux-Sevres,0
Gynecologie medicale,Deux-Sevres,0
Gynecologie-obstetrique,Deux-Sevres,0
Hematologie,Deux-Sevres,0
Gastro-enterologie et hepatologie,Deux-Sevres,0
Medecine du travail,Deux-Sevres,22
Medecine interne,Deux-Sevres,0
Medecine nucleaire,Deux-Sevres,0
Medecine physique et readaptation,Deux-Sevres,0
Nephrologie,Deux-Sevres,1
Neuro-chirurgie,Deux-Sevres,0
Neurologie,Deux-Sevres,0
O.R.L et chirurgie cervico faciale,Deux-Sevres,0
Oncologie option medicale,Deux-Sevres,0
Ophtalmologie,Deux-Sevres,1
Pediatrie,Deux-Sevres,2
Pneumologie,Deux-Sevres,0
Psychiatrie,Deux-Sevres,4
Radio-diagnostic et imagerie medicale,Deux-Sevres,0
Radio-therapie,Deux-Sevres,0
Reanimation medicale,Deux-Sevres,0
Recherche medicale,Deux-Sevres,0
Rhumatologie,Deux-Sevres,0
Sante publique et medecine sociale,Deux-Sevres,0
Generalistes,Deux-Sevres,93
Medecine generale,Deux-Sevres,93
Ensemble des specialites d'exercice,Somme,182
Specialistes,Somme,54
Anatomie et cytologie pathologiques,Somme,0
Anesthesie-reanimation,Somme,0
Biologie medicale,Somme,3
Cardiologie et maladies vasculaires,Somme,1
Chirurgie generale,Somme,0
Chirurgie maxillo-faciale et stomatologie,Somme,0
